,full_text
64,"Btw  katanya Desak Anies ga laku  rame di twitter doang  fa fi fu was wes wos...  Namun nampaknya serangan penyinyirannya makin deras 😂  Yang didesak Pak Anies kok yg terdesak 'mereka"" deh wkwkwk"""
65,Semua mereka pegang: mulai dari wasit  hakim garis  panpel  petugas keamanan  sampai yang mengisi lapak kantin. Dengan kata lain: lawan Anies-Imin dan Ganjar-Mahfud dalam pilpres 2024 ini bukan hanya Prabowo-Gibran  tapi juga sistem yang korup.
66,Pesantren-pesantren besar; Mlangi  Krapyak  Lirboyo  Sarang  Ploso  Denanyar  Tegal Rejo  semua satu suara ke @aniesbaswedan. Salah satu peran @cakimiNOW di sini. Sejak tahun 1955  fenomena ini belum pernah terjadi.  Met Jumatan para sahabat Anies dan bukan sahabat Anies.…
67,Saya lagi dijalan langsung minggir pas tau pak Anies live  sumpah kaya seneng gimana gitu liat calon Presiden ini 🥰  Ada sedih   bangga   seneng   ngeliat perjuangan beliau dengan banyak bgt tekanan 🥺  Dan ini perdana pak anies Live di Tiktok Desak anies  #AMINAjaDulu https://t.co/9ENhpui4Q5
68,PILIH ANIES AMIN.  Sederhana saja...  Dalam Memilih Pemimpin Itu Omongan dengan Perbuatan Sejalan.   Janji ini ..itu Dibuktikan dengan Kenyataan. Anies telah Membuktikannya Sewaktu dulu Memimpin Jakarta. Bersenyawa  Kata yang Pas yang Diucapkan Anies dalam Video Pendek ini. https://t.co/mzJkBoi0qC
69,Anies Baswedan: “Inilah bedanya yang berbicara pakai data yang berbicara pakai fiksi…!” 🚨👻🥶 https://t.co/gccbCZ8KAu
70,ANIES MEMUASKAN PUBLIK PONTIANAK...  BEGINI PENDAPAT MASYARAKAT PONTIANAK SETELAH MELIHAT DAN MENDENGAR DESAK ANIES DI PONTIANAK....‼️  #StopAksiCulasKPU #StopAksiCulasKPU 🆘🆗 https://t.co/FzeGUANqIa
71,"2024 buruh inginkan perubahan. Kira2 siapa capres yang cocok?""  ""Kita percayakan kepada Pak Anies.  Mudah2an jutaan buruh Indonesia akan bersama2 Pak Anies membangun Indonesia.""  #GibranAntiPerubahan  #GibranAntiPerubahan https://t.co/5R3IJCW0tU"""
72,Saat ke Blambangan kami mencoba Pecel Pitik  kuliner khas Komunitas Osing. Disajikan langsung di atas daun pisang  dan kalau di sana tradisinya makan menggunakan tangan  bikin makannya makin nikmat. Saya diceritakan oleh Pak Usi  Ketua Komunitas Osing  kalau Pecel Pitik ini juga… https://t.co/UlbpDxvW6J
73,Pak Anies Baswedan &amp; Bu Fery Farhati  Cak Imin &amp; Bu Rustini bersama-sama menghadiri Acara Pengajian MPP Aqshona  Banyuwangi..  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/bT1FFIFGVt
74,Spanduk Rakyat terus masif di buat relawan Sobat Anies...  #SobatAnies #AMINAjaDulu https://t.co/DwJJjQZvtD
75,Captain TIMNAS AMIN: Pengamanan terhadap pasangan AMIN akan ditingkatkan usai kejadian pak Anies Baswedan dipukul oleh OTK di Pontianak..  Semoga Allah SWT selalu melindungi pak Anies Baswedan &amp; Cak Imin 🙏🏻  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/nU4QZlFLnq
76,Hanya Pak Anies Baswedan - Muhaimin Iskandar (AMIN) yg hadir  membaca dan menandatangani pakta integritas di depan ulama.  Menangkan AMIN dan PKS di Pilpres dan pemilu 2024 https://t.co/v3LRP0z9c9
77,Pakai Bajunya ☺️ Sikat Makanannya 😁 Kantongi Uangnya 😝 ANIES Pilihannya 🥳 ✅ Ketawa Harus RT https://t.co/7DonlAVwxc
