all_slang,tokens
mendukung,['mendukung']
positif,['positif']
kamu,['kamu']
emang,['emang']
luar,['luar']
biasa,['biasa']
aku,['aku']
dukung,['dukung']
terus,['terus']
ya,['ya']
abis,['abis']
ikut,['ikut']
jajan,['jajan']
suka,['suka']
kirim,['kirim']
laporan,['laporan']
kek,['kek']
absen,['absen']
yang,['yang']
ganteng,['ganteng']
saya,['saya']
pernah,['pernah']
cuma,['cuma']
aja,['aja']
abis,['abis']
menemani,['menemani']
aku,['aku']
lemari,['lemari']
di,['di']
kamar,['kamar']
semoga,['semoga']
suka,['suka']
dan,['dan']
bermanfaat,['bermanfaat']
ya,['ya']
aku,['aku']
pilih,['pilih']
dan,['dan']
besok,['besok']
semua,['semua']
ya,['ya']
buat,['buat']
satu,['satu']
muka,['muka']
saja,['saja']
sudah,['sudah']
relatif,['relatif']
mahal,['mahal']
bagaimana,['bagaimana']
dengan,['dengan']
yang,['yang']
bermuka,['bermuka']
lebih,['lebih']
dari,['dari']
satu,['satu']
rusak,['rusak']
susu,['susu']
sebangsa,['sebangsa']
jumpa,['jumpa']
satu,['satu']
yang,['yang']
akan,['akan']
memudahkan,['memudahkan']
urusan,['urusan']
harian,['harian']
untuk,['untuk']
yang,['yang']
ada,['ada']
anak,['anak']
kecik,['kecik']
memang,['memang']
wajib,['wajib']
yang,['yang']
ni,['ni']
suka,['suka']
lebih,['lebih']
ke,['ke']
banyak,['banyak']
tolong,['tolong']
sama,['sama']
kalau,['kalau']
lewat,['lewat']
bekerja,['bekerja']
bakteri,['bakteri']
bakal,['bakal']
tumbuh,['tumbuh']
bulan,['bulan']
hi,['hi']
obat,['obat']
jerawat,['jerawat']
jerawat,['jerawat']
untuk,['untuk']
ini,['ini']
kamu,['kamu']
harus,['harus']
konsultasi,['konsultasi']
dulu,['dulu']
ke,['ke']
beliau,['beliau']
terkait,['terkait']
kondisi,['kondisi']
muka,['muka']
kalian,['kalian']
biasanya,['biasanya']
kalian,['kalian']
butuh,['butuh']
apa,['apa']
dulu,['dulu']
tak,['tak']
percaya,['percaya']
pun,['pun']
penting,['penting']
sebab,['sebab']
pakai,['pakai']
je,['je']
boleh,['boleh']
buat,['buat']
kulit,['kulit']
cantik,['cantik']
silap,['silap']
dah,['dah']
sendiri,['sendiri']
baru,['baru']
tahu,['tahu']
walaupun,['walaupun']
pakai,['pakai']
je,['je']
tapi,['tapi']
dia,['dia']
bagi,['bagi']
perubahan,['perubahan']
yang,['yang']
besar,['besar']
dekat,['dekat']
ada,['ada']
yang,['yang']
juara,['juara']
tapi,['tapi']
dong,['dong']
aku,['aku']
kasih,['kasih']
tau,['tau']
on,['on']
sesuai,['sesuai']
ke,['ke']
pakai,['pakai']
yang,['yang']
jenis,['jenis']
sebab,['sebab']
tak,['tak']
suka,['suka']
jari,['jari']
basah,['basah']
masa,['masa']
buat,['buat']
mau,['mau']
tau,['tau']
susun,['susun']
dulu,['dulu']
mana,['mana']
nak,['nak']
kasi,['kasi']
sebab,['sebab']
buat,['buat']
cowok,['cowok']
biar,['biar']
tahun,['tahun']
depan,['depan']
naga,['naga']
lagi,['lagi']
mau,['mau']
cocok,['cocok']
banget,['banget']
rangkaian,['rangkaian']
dari,['dari']
doang,['doang']
kata,['kata']
gue,['gue']
mau,['mau']
jajan,['jajan']
mending,['mending']
buruan,['buruan']
cek,['cek']
sekarang,['sekarang']
dah,['dah']
ni,['ni']
gue,['gue']
beli,['beli']
dari,['dari']
jutaan,['jutaan']
potongan,['potongan']
lagi,['lagi']
jadi,['jadi']
cuma,['cuma']
bayar,['bayar']
beli,['beli']
semua,['semua']
dapat,['dapat']
liburan,['liburan']
pas,['pas']
bawa,['bawa']
dikit,['dikit']
tapi,['tapi']
terus,['terus']
gede,['gede']
biar,['biar']
penuh,['penuh']
di,['di']
tas,['tas']
punya,['punya']
ini,['ini']
buat,['buat']
lebih,['lebih']
enak,['enak']
harus,['harus']
sebagai,['sebagai']
rutin,['rutin']
sebelum,['sebelum']
ini,['ini']
sangat,['sangat']
membantu,['membantu']
buat,['buat']
wajah,['wajah']
lembab,['lembab']
berkurang,['berkurang']
gampang,['gampang']
banget,['banget']
ini,['ini']
contoh,['contoh']
di,['di']
wajah,['wajah']
adik,['adik']
ku,['ku']
liburan,['liburan']
kali,['kali']
ini,['ini']
lagi,['lagi']
bawa,['bawa']
banyak,['banyak']
adalah,['adalah']
aku,['aku']
demi,['demi']
menghemat,['menghemat']
dan,['dan']
kami,['kami']
tahun,['tahun']
hadapan,['hadapan']
adalah,['adalah']
lebih,['lebih']
efektif,['efektif']
inovatif,['inovatif']
pada,['pada']
harga,['harga']
jauh,['jauh']
level,['level']
lebih,['lebih']
murah,['murah']
daripada,['daripada']
produk,['produk']
dan,['dan']
Indonesia,['Indonesia']
kami,['kami']
diri,['diri']
sendiri,['sendiri']
ni,['ni']
boleh,['boleh']
tak,['tak']
produk,['produk']
pernah,['pernah']
aku,['aku']
pakai,['pakai']
ya,['ya']
isi,['isi']
ada,['ada']
di,['di']
gampang,['gampang']
pol,['pol']
aku,['aku']
ini,['ini']
mau,['mau']
paket,['paket']
karena,['karena']
yang,['yang']
sayang,['sayang']
sama,['sama']
aku,['aku']
aku,['aku']
buat,['buat']
sayang,['sayang']
sendiri,['sendiri']
aja,['aja']
makan,['makan']
yang,['yang']
enak,['enak']
enak,['enak']
beli,['beli']
meskipun,['meskipun']
burik,['burik']
baju,['baju']
yang,['yang']
bagus,['bagus']
dandan,['dandan']
walaupun,['walaupun']
jelek,['jelek']
to,['to']
cuma,['cuma']
diri,['diri']
sendiri,['sendiri']
bahagia,['bahagia']
aja,['aja']
pasti,['pasti']
muncul,['muncul']
banyak,['banyak']
to,['to']
adalah,['adalah']
si,['si']
ini,['ini']
klop,['klop']
sama,['sama']
ini,['ini']
dan,['dan']
botol,['botol']
banget,['banget']
buat,['buat']
jerawat,['jerawat']
maupun,['maupun']
baru,['baru']
baru,['baru']
cocok,['cocok']
mumpung,['mumpung']
lagi,['lagi']
sale,['sale']
jadi,['jadi']
beli,['beli']
aja,['aja']
mangkok,['mangkok']
habis,['habis']
mahal,['mahal']
bisa,['bisa']
kenyang,['kenyang']
muntah,['muntah']
maksud,['maksud']
apa,['apa']
aja,['aja']
di,['di']
kurang,['kurang']
puas,['puas']
doang,['doang']
rasa,['rasa']
jamur,['jamur']
ayam,['ayam']
enak,['enak']
lah,['lah']
uma,['uma']
de,['de']
sua,['sua']
na,['na']
kita,['kita']
ulang,['ulang']
tahun,['tahun']
dengan,['dengan']
mengucapkan,['mengucapkan']
dan,['dan']
juga,['juga']
harapan,['harapan']
untuk,['untuk']
ada,['ada']
untuk,['untuk']
orang,['orang']
yang,['yang']
beruntung,['beruntung']
to,['to']
lot,['lot']
kali,['kali']
ini,['ini']
mau,['mau']
yang,['yang']
biasa,['biasa']
aku,['aku']
butuh,['butuh']
banyak,['banyak']
step,['step']
yang,['yang']
terpenting,['terpenting']
konsisten,['konsisten']
kalo,['kalo']
lagi,['lagi']
butuh,['butuh']
jangan,['jangan']
skip,['skip']
cara,['cara']
ini,['ini']
kamera,['kamera']
depan,['depan']
kamera,['kamera']
belakang,['belakang']
gentong,['gentong']
yang,['yang']
bakal,['bakal']
jadi,['jadi']
to,['to']
kulit,['kulit']
ini,['ini']
pertama,['pertama']
kali,['kali']
tertarik,['tertarik']
setelah,['setelah']
liat,['liat']
ketika,['ketika']
sama,['sama']
kalo,['kalo']
kulit,['kulit']
lagi,['lagi']
banyak,['banyak']
problem,['problem']
aku,['aku']
selalu,['selalu']
penggunaan,['penggunaan']
berlebihan,['berlebihan']
pure,['pure']
sekarang,['sekarang']
aku,['aku']
lagi,['lagi']
baik,['baik']
aku,['aku']
di,['di']
emang,['emang']
memperbaiki,['memperbaiki']
menjaga,['menjaga']
banget,['banget']
ketemu,['ketemu']
rangkaian,['rangkaian']
tapi,['tapi']
pas,['pas']
buat,['buat']
kebutuhan,['kebutuhan']
buat,['buat']
,[]
lah,['lah']
sudah,['sudah']
aku,['aku']
pasang,['pasang']
susuk,['susuk']
lagi,['lagi']
jerawatan,['jerawatan']
emang,['emang']
suka,['suka']
kesel,['kesel']
ya,['ya']
aku,['aku']
sih,['sih']
ada,['ada']
aku,['aku']
fokus,['fokus']
yang,['yang']
mengandung,['mengandung']
dan,['dan']
kayak,['kayak']
dari,['dari']
pernah,['pernah']
terjadi,['terjadi']
tak,['tak']
bila,['bila']
pakai,['pakai']
tapi,['tapi']
tak,['tak']
nampak,['nampak']
perubahan,['perubahan']
pun,['pun']
ada,['ada']
jumpa,['jumpa']
satu,['satu']
mudah,['mudah']
untuk,['untuk']
produk,['produk']
kita,['kita']
pakai,['pakai']
berfungsi,['berfungsi']
dengan,['dengan']
baik,['baik']
akun,['akun']
kita,['kita']
kenangan,['kenangan']
paling,['paling']
kamu,['kamu']
ingat,['ingat']
bersama,['bersama']
dan,['dan']
pesan,['pesan']
untuk,['untuk']
beliau,['beliau']
dan,['dan']
pemenang,['pemenang']
pada,['pada']
wajib,['wajib']
punya,['punya']
wajah,['wajah']
untuk,['untuk']
